GENERATION: 2
NUM:          X            Y            Z         FITNESS
   7            0           -2   -2.999065           0
   8            0    -2.003906     -2.9836    0.015465
   9            0           -3   -0.154973    2.844092
  10            0           -3   -0.154973    2.844092
  11            0           -3   -0.154973    2.844092
  12            0           -3   -0.154973    2.844092
  13            0           -3   -0.154973    2.844092
  14            0           -3   -0.154973    2.844092
  15            0    -3.003906   -0.152298    2.846766
  16            0           -4   -0.000436    2.998628
  17            0           -4   -0.000436    2.998628
  18            0           -5           0    2.999065
  19            0     5.064453           0    2.999065
  20            0     5.064453           0    2.999065
  21            0     5.039062           0    2.999065
  22            0     5.039062           0    2.999065
  23            0     5.025391           0    2.999065
  24            0     5.025391           0    2.999065
  25            0     4.118164    0.000358    2.999422
  26            0     4.103516    0.000396    2.999461
  27            0      4.09375    0.000424    2.999489
  28            0      4.09375    0.000424    2.999489
  29            0     4.088867    0.000439    2.999504
  30            0     4.088867    0.000439    2.999504
  31            0     4.086914    0.000445     2.99951
  32            0     4.078125    0.000473    2.999538
  33            0     4.073242    0.000489    2.999554
  34            0     4.072266    0.000492    2.999557
  35            0     4.072266    0.000492    2.999557
  36            0     4.071289    0.000496     2.99956
  37            0      4.06543    0.000516    2.999581
  38            0     4.055664    0.000552    2.999617
  39            0     4.055664    0.000552    2.999617
  40            0     4.055664    0.000552    2.999617
  41            0     4.055664    0.000552    2.999617
  42            0     4.054688    0.000556    2.999621
  43            0     4.048828    0.000579    2.999643
  44            0     4.048828    0.000579    2.999643
  45            0     4.047852    0.000582    2.999647
  46            0     4.046875    0.000586    2.999651
  47            0     4.046875    0.000586    2.999651
  48            0     4.046875    0.000586    2.999651
  49            0     4.041992    0.000606    2.999671
  50            0     4.040039    0.000614    2.999679
  51            0     4.040039    0.000614    2.999679
  52            0      4.03125    0.000653    2.999717
  53            0     4.026367    0.000675    2.999739
  54            0     4.026367    0.000675    2.999739
  55            0     4.017578    0.000716    2.999781
  56            0     4.016602    0.000721    2.999786
  57            0     4.016602    0.000721    2.999786
  58            0     4.008789     0.00076    2.999825
  59            0     4.001953    0.000796    2.999861
  60            0     4.000977    0.000801    2.999866
  61            0     3.525391     0.01526    3.014325
  62            0     3.439453    0.024542    3.023607
  63            0     3.414062    0.028145    3.027209
  64            0     3.064453    0.157928    3.156993
  65            0     3.039062    0.176887    3.175952
  66            0     3.025391    0.187894    3.186959
  67            0      2.99707      0.2126    3.211665
  68            0     2.996094      0.2135    3.212565
  69            0     2.993164    0.216219    3.215284
  70            0     2.982422    0.226446    3.225511
  71            0     2.978516    0.230266    3.229331
  72            0     2.972656    0.236101    3.235166
  73            0      2.96875    0.240062    3.239126
  74            0     2.967773    0.241061    3.240125
  75            0     2.967773    0.241061    3.240125
  76            0     2.967773    0.241061    3.240125
  77            0     2.967773    0.241061    3.240125
  78            0      2.96582    0.243069    3.242134
  79            0     2.957031    0.252286    3.251351
  80            0     2.953125    0.256477    3.255542
  81            0     2.953125    0.256477    3.255542
  82            0     2.952148    0.257534    3.256599
  83            0     2.951813    0.257899    3.256963
  84            0     2.951172    0.258595     3.25766
  85            0     2.950195     0.25966    3.258724
  86            0     2.950195     0.25966    3.258724
  87            0     2.950195     0.25966    3.258724
  88            0     2.946289    0.263955     3.26302
  89            0     2.944336    0.266126    3.265191
  90            0     2.944336    0.266126    3.265191
  91            0     2.943359    0.267217    3.266282
  92            0      2.93457    0.277208    3.276273
  93            0     2.933594    0.278338    3.277403
  94            0     2.930664     0.28175    3.280815
  95            0     2.929688    0.282895     3.28196
  96            0     2.927734    0.285198    3.284263
  97            0     2.926758    0.286355     3.28542
  98            0     2.925781    0.287516    3.286581
  99            0     2.923325    0.290455    3.289519
 100            0     2.922852    0.291024    3.290089


GENERATION: 7
NUM:          X            Y            Z         FITNESS
   1            0           -2   -2.999065           0
   2            0           -2   -2.999065           0
   3            0           -2   -2.999065           0
   4            0           -2   -2.999065           0
   5            0           -2   -2.999065           0
   6            0           -2   -2.999065           0
   7            0           -2   -2.999065           0
   8            0    -2.003906     -2.9836    0.015465
   9            0           -3   -0.154973    2.844092
  10            0           -3   -0.154973    2.844092
  11            0           -3   -0.154973    2.844092
  12            0           -3   -0.154973    2.844092
  13            0           -3   -0.154973    2.844092
  14            0           -3   -0.154973    2.844092
  15            0    -3.003906   -0.152298    2.846766
  16            0           -4   -0.000436    2.998628
  17            0           -4   -0.000436    2.998628
  18            0           -5           0    2.999065
  19            0     5.064453           0    2.999065
  20            0     5.064453           0    2.999065
  21            0     5.039062           0    2.999065
  22            0     5.039062           0    2.999065
  23            0     5.025391           0    2.999065
  24            0     5.025391           0    2.999065
  25            0     4.118164    0.000358    2.999422
  26            0     4.117188     0.00036    2.999425
  27            0     4.117188     0.00036    2.999425
  28            0     4.117188     0.00036    2.999425
  29            0     4.117188     0.00036    2.999425
  30            0     4.117188     0.00036    2.999425
  31            0     4.117188     0.00036    2.999425
  32            0     4.117188     0.00036    2.999425
  33            0     4.117188     0.00036    2.999425
  34            0     4.117188     0.00036    2.999425
  35            0     4.117188     0.00036    2.999425
  36            0     4.103516    0.000396    2.999461
  37            0      4.09375    0.000424    2.999489
  38            0      4.09375    0.000424    2.999489
  39            0     4.088867    0.000439    2.999504
  40            0     4.088867    0.000439    2.999504
  41            0     4.086914    0.000445     2.99951
  42            0     4.078125    0.000473    2.999538
  43            0     4.073242    0.000489    2.999554
  44            0     4.072266    0.000492    2.999557
  45            0     4.072266    0.000492    2.999557
  46            0     4.071289    0.000496     2.99956
  47            0      4.06543    0.000516    2.999581
  48            0     4.064453     0.00052    2.999584
  49            0     4.064453     0.00052    2.999584
  50            0     4.064453     0.00052    2.999584
  51            0     4.064453     0.00052    2.999584
  52            0     4.064453     0.00052    2.999584
  53            0     4.064453     0.00052    2.999584
  54            0     4.064453     0.00052    2.999584
  55            0     4.064453     0.00052    2.999584
  56            0     4.055664    0.000552    2.999617
  57            0     4.055664    0.000552    2.999617
  58            0     4.055664    0.000552    2.999617
  59            0     4.055664    0.000552    2.999617
  60            0     4.054688    0.000556    2.999621
  61            0     4.048828    0.000579    2.999643
  62            0     4.048828    0.000579    2.999643
  63            0     4.047852    0.000582    2.999647
  64            0     4.046875    0.000586    2.999651
  65            0     4.046875    0.000586    2.999651
  66            0     4.046875    0.000586    2.999651
  67            0     4.041992    0.000606    2.999671
  68            0     4.040039    0.000614    2.999679
  69            0     4.040039    0.000614    2.999679
  70            0      4.03125    0.000653    2.999717
  71            0     4.026367    0.000675    2.999739
  72            0     4.026367    0.000675    2.999739
  73            0     4.017578    0.000716    2.999781
  74            0     4.016602    0.000721    2.999786
  75            0     4.016602    0.000721    2.999786
  76            0     4.008789     0.00076    2.999825
  77            0     4.001953    0.000796    2.999861
  78            0     4.000977    0.000801    2.999866
  79            0     3.564453    0.012224    3.011289
  80            0     3.525391     0.01526    3.014325
  81            0     3.439453    0.024542    3.023607
  82            0     3.414062    0.028145    3.027209
  83            0     3.064453    0.157928    3.156993
  84            0     3.039062    0.176887    3.175952
  85            0     3.025391    0.187894    3.186959
  86            0      2.99707      0.2126    3.211665
